SeraphimDroid Record,Starting date and time:,2019-07-14-10-28-00,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),SeraphimDroid (Pid 11895) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
5.3984575,1.5424165,33840,,529848,1020700,366012,654688,147456
3.5,0.75,33840,,530632,1019916,365068,654848,147456
1.0309278,0.77319586,33840,,529144,1021404,366556,654848,147456
5.5555553,4.2328043,33840,,528944,1021604,366556,655048,147456
4.6632123,3.3678756,33840,,529288,1021260,366384,655000,147456
0.5076142,1.0152284,33840,,529488,1021060,366060,655000,147456
0.25641027,0.7692308,33840,,529612,1020936,366060,655000,147456
2.077922,1.5584415,33840,,529868,1020680,365680,655000,147456
4.2105265,1.8421053,33840,,527624,1022924,367932,654992,147456
0.51150894,0.7672634,33840,,527680,1022868,367868,655000,147456
2.3195877,23.195877,33840,,527672,1022876,367876,655000,147456
17.99629,11.87384,33840,,550664,999884,341776,658108,147456
1.8421053,1.5789474,33840,,544788,1005760,360296,645464,147456
8.1081085,5.9459457,33840,,545664,1004884,357568,647316,147456
2.2959185,0.25510204,33840,,545292,1005256,357616,647640,147456
4.4692736,6.703911,33840,,546716,1003832,355880,647952,147456
25.0,6.5789475,33840,,554716,995832,351636,644196,147456
1.7994858,0.7712082,33840,,533544,1017004,372748,644256,147456
5.0,0.2631579,33840,,533864,1016684,372252,644432,147456
6.4102564,0.51282054,33840,,533916,1016632,372188,644444,147456
5.0666666,0.26666668,33840,,533808,1016740,372284,644456,147456
15.485564,0.5249344,33840,,548912,1001636,338476,663160,147456
14.824798,0.0,33840,,535712,1014836,371688,643156,147456
19.623655,0.26881722,33840,,549116,1001432,339532,661900,147456
45.675674,0.27027026,33840,,545148,1005400,355108,650292,147456
75.19789,0.0,33840,,563256,987292,347728,639612,147456
53.57143,0.5494506,33840,,563036,987512,347512,640000,147456
34.70437,1.285347,33840,,562980,987568,349580,637988,147456
16.752577,0.25773194,33840,,562944,987604,351720,635884,147456
0.0,0.25252524,33840,,562636,987912,351812,636100,147456
8.121827,0.2538071,33840,,566396,984152,348048,636104,147456
2.2900763,0.2544529,33840,,552308,998240,362136,636104,147456
0.25252524,0.25252524,33840,,552232,998316,362216,636100,147456
0.0,0.25252524,33840,,552232,998316,362216,636100,147456
0.25316456,0.25316456,33840,,552216,998332,362232,636100,147456
1.2562814,0.5025126,33840,,552392,998156,362060,636096,147456
11.195929,0.5089058,33840,,554208,996340,359704,636636,147456
0.0,0.0,33840,,554232,996316,359628,636688,147456
0.0,0.25252524,33840,,554216,996332,359644,636688,147456
1.2254902,0.7352941,33840,,554340,996208,359520,636688,147456
0.76045626,8.365019,33840,,554340,996208,359520,636688,147456
45.669292,0.2624672,33840,,562204,988344,344932,643412,147456
