SeraphimDroid Record,Starting date and time:,2019-07-07-14-19-50,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),SeraphimDroid (Pid 2153) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
3.5519125,2.4590163,8068,,951408,599140,317220,281920,147456
6.3157897,2.1052632,8068,,948316,602232,320260,281972,147456
3.5422344,1.907357,8068,,947676,602872,317104,285768,147456
2.6595745,2.6595745,8068,,947452,603096,317136,285960,147456
2.8423772,2.0671835,8068,,947452,603096,317136,285960,147456
8.74317,1.6393442,8068,,942132,608416,333908,274508,147456
9.946237,5.9139786,8068,,944376,606172,328576,277596,147456
9.340659,1.6483517,8068,,943760,606788,328748,278040,147456
8.0,4.5333333,8068,,943512,607036,328792,278244,147456
1.3623978,1.0899183,8068,,943540,607008,328668,278340,147456
24.137932,13.793103,8068,,950088,600460,319608,281000,147456
38.46154,28.571428,8068,,959856,590692,321908,268808,147456
21.643835,18.90411,8068,,959200,591348,323168,268180,147456
20.661158,16.804407,8068,,959912,590636,327824,262812,147456
29.946524,28.342245,8068,,960288,590260,331520,258740,147456
28.877005,28.609625,8068,,960052,590496,331772,258724,147456
17.866667,9.333333,8068,,956440,594108,339456,254652,147456
5.9299192,4.3126683,8068,,955440,595108,339784,255324,147456
7.520891,5.292479,8068,,955036,595512,339384,256128,147456
11.202186,4.644809,8068,,957876,592672,332172,260500,147456
4.5698924,0.8064516,8068,,957688,592860,332144,260716,147456
14.62141,5.7441254,8068,,959124,591424,332136,259288,147456
9.536785,3.814714,8068,,956876,593672,330524,263148,147456
8.174387,3.269755,8068,,956784,593764,330516,263248,147456
1.8918918,1.3513514,8068,,956384,594164,330916,263248,147456
2.1276596,1.0638298,8068,,956252,594296,331020,263276,147456
8.719346,0.8174387,8068,,956536,594012,323932,269996,147456
26.31579,1.1080333,8068,,958356,592192,326960,265232,147456
9.041096,1.369863,8068,,958648,591900,328140,263760,147456
9.831461,1.4044944,8068,,958852,591696,327596,264108,147456
5.7065215,1.0869565,8068,,959092,591456,327324,264132,147456
36.93182,24.147728,8068,,951336,599212,327856,271356,147456
47.783253,8.743842,8068,,947996,602552,329216,273160,147456
62.534435,30.30303,8068,,956296,594252,317100,277152,147456
6.9892473,2.9569893,8068,,959188,591360,319212,272148,147456
2.9411764,0.80213904,8068,,957204,593344,320528,272940,147456
3.2345014,1.6172507,8068,,955384,595164,319348,275816,147456
8.174387,6.26703,8068,,955148,595400,319100,276300,147456
9.065934,6.0439563,8068,,955148,595400,319100,276300,147456
22.163588,1.3192612,8068,,956236,594312,322204,272108,147456
5.3619304,0.8042895,8068,,956240,594308,322136,272172,147456
7.9575596,0.530504,8068,,956120,594428,322136,272292,147456
9.8404255,1.0638298,8068,,954152,596396,323252,273144,147456
19.060774,1.6574585,8068,,964988,585560,313352,272220,147456
19.166666,2.2222223,8068,,964252,586296,312600,273696,147456
9.116022,0.8287293,8068,,966792,583756,311252,272520,147456
14.705882,0.53475934,8068,,964740,585808,314040,271816,147456
32.63158,0.5263158,8068,,992016,558532,296592,261940,147456
36.842106,0.5263158,8068,,1030704,519844,315688,204292,147456
11.140584,0.265252,8068,,1031584,518964,293804,225160,147456
14.666667,0.53333336,8068,,1022168,528380,294412,232220,147456
27.345844,0.536193,8068,,1022056,528492,299316,229176,147456
20.954906,1.591512,8068,,1017768,532780,303464,229316,147456
14.893617,0.5319149,8068,,1024068,526480,297144,230080,147456
42.492916,3.3994334,8068,,1021088,529460,300544,228916,147456
13.636364,1.8716577,8068,,1020168,530380,299004,231376,147456
3.9893618,0.79787236,8068,,1022136,528412,295956,232456,147456
5.291005,0.52910054,8068,,1021716,528832,293060,235772,147456
24.791086,0.8356546,8068,,973284,577264,368260,209004,147456
6.878307,0.52910054,8068,,970576,579972,370664,209308,147456
14.824798,1.8867924,8068,,970032,580516,371176,209340,147456
17.1875,0.78125,8068,,970192,580356,369700,210656,147456
4.712042,0.2617801,8068,,970052,580496,369624,210872,147456
40.214478,1.3404826,8068,,982284,568264,337496,230768,147456
22.028986,0.5797101,8068,,990320,560228,305808,254420,147456
45.961002,3.6211698,8068,,992388,558160,319912,238248,147456
16.442049,0.80862534,8068,,996688,553860,312912,240948,147456
18.010754,0.53763443,8068,,998512,552036,309652,242384,147456
33.245384,0.5277045,8068,,1021308,529240,324764,204600,147456
7.103825,0.8196721,8068,,1021028,529520,314812,214708,147456
6.1827955,0.53763443,8068,,1020528,530020,315296,214724,147456
28.871391,0.2624672,8068,,1020764,529784,313420,216364,147456
17.914438,0.26737967,8068,,1018296,532252,331180,201072,147456
7.3170733,0.5420054,8068,,1019984,530564,327196,203368,147456
11.382113,0.8130081,8068,,1020300,530248,324780,205468,147456
4.132231,1.6528926,8068,,1021484,529064,323744,205444,147456
17.679558,3.5911603,8068,,1015216,535332,329448,205884,147456
6.504065,0.5420054,8068,,1014572,535976,328960,207016,147456
3.6553526,0.5221932,8068,,1014616,535932,329952,205980,147456
1.3157895,0.5263158,8068,,1014616,535932,329952,205980,147456
10.526316,0.5263158,8068,,999644,550904,344628,206276,147456
11.444141,0.8174387,8068,,996400,554148,347796,206352,147456
20.320856,0.26737967,8068,,995472,555076,348752,206324,147456
18.206522,0.54347825,8068,,996984,553564,346788,206776,147456
22.074469,0.26595744,8068,,1002672,547876,341188,206688,147456
46.723648,1.7094017,8068,,999768,550780,320980,229800,147456
28.695652,3.1884058,8068,,1016420,534128,312868,221260,147456
4.3956046,0.5494506,8068,,1016504,534044,312360,221684,147456
3.1746032,0.52910054,8068,,1016268,534280,312512,221768,147456
4.324324,0.5405405,8068,,1016516,534032,312264,221768,147456
2.425876,0.53908354,8068,,1017076,533472,312740,220732,147456
