AnotherMonitor Record,Starting date and time:,2019-07-16-11-52-39,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),AnotherMonitor (Pid 10859) CPU usage (%),AnotherMonitor Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
10.103627,3.626943,5300,,833284,717264,319024,398240,147456
47.757256,1.055409,5300,,833636,716912,318356,398680,147456
32.20779,3.116883,5300,,831952,718596,317508,401088,147456
12.239583,0.0,5300,,831632,718916,317708,401208,147456
9.090909,0.2754821,5300,,832072,718476,317288,401188,147456
14.713897,0.0,5300,,831516,719032,323016,396016,147456
55.064934,0.0,5300,,837248,713300,313412,399888,147456
33.59375,0.0,5300,,840916,709632,308844,400788,147456
47.769028,0.0,5300,,844632,705916,303588,402328,147456
69.48718,0.25641027,5300,,856332,694216,304704,389512,147456
53.185596,0.0,5300,,849660,700888,310460,390552,147456
46.842106,0.0,5300,,851180,699368,309192,390028,147456
48.812664,0.7915567,5300,,853316,697232,305916,391316,147456
50.79787,0.0,5300,,854544,696004,302852,393152,147456
51.32979,0.0,5300,,857384,693164,304264,389048,147456
41.509434,0.0,5300,,857760,692788,303720,389068,147456
44.89247,0.0,5300,,856644,693904,308060,385844,147456
47.580647,0.26881722,5300,,855516,695032,309008,386024,147456
30.706522,0.0,5300,,855104,695444,309508,385936,147456
2.1505377,0.0,5300,,855364,695184,309324,385860,147456
30.84833,0.0,5300,,862108,688440,299724,388716,147456
50.383633,0.25575447,5300,,862116,688432,300348,388084,147456
42.51337,0.0,5300,,858744,691804,303536,388268,147456
26.38191,0.0,5300,,858416,692132,302812,389320,147456
29.323309,0.25062656,5300,,856972,693576,304812,388764,147456
8.465609,0.0,5300,,856864,693684,304432,389252,147456
13.315217,0.0,5300,,856640,693908,304552,389356,147456
1.2919897,0.25839794,5300,,856684,693864,306028,387836,147456
50.128536,0.0,5300,,859612,690936,303212,387724,147456
22.788204,0.0,5300,,859716,690832,303204,387628,147456
25.0,0.0,5300,,852952,697596,309916,387680,147456
20.843672,0.24813896,5300,,850240,700308,312620,387688,147456
16.976128,0.0,5300,,849972,700576,312876,387700,147456
17.962467,0.0,5300,,849836,700712,313000,387712,147456
67.10876,0.265252,5300,,855748,694800,307756,387168,147456
36.968086,0.0,5300,,854836,695712,308360,387352,147456
43.42105,0.0,5300,,858420,692128,302456,389672,147456
39.779007,0.0,5300,,859728,690820,300984,389836,147456
34.677418,0.0,5300,,859776,690772,300824,389948,147456
33.783783,0.27027026,5300,,860196,690352,304192,386160,147456
34.15978,0.0,5300,,859972,690576,304320,386256,147456
34.293194,0.0,5300,,855244,695304,308928,386468,147456
21.925133,3.2085562,5300,,850992,699556,325340,374216,147456
4.972376,2.486188,5300,,851080,699468,325064,374404,147456
11.716621,4.0871935,5300,,851076,699472,324664,374808,147456
7.002801,5.602241,5300,,850788,699760,324892,374868,147456
13.385827,2.0997376,5300,,849220,701328,325952,376800,147456
13.684211,0.0,5300,,846464,704084,327360,376848,147456
11.111111,0.0,5300,,847012,703536,328208,375328,147456
13.192612,0.5277045,5300,,847240,703308,327964,375344,147456
14.209115,0.0,5300,,847628,702920,327480,375440,147456
11.497326,0.0,5300,,826164,724384,346716,377668,147456
9.641873,0.0,5300,,827372,723176,341812,381364,147456
33.423912,0.0,5300,,838984,711564,294532,417032,147456
9.651475,0.0,5300,,841500,709048,305920,403252,147456
9.6858635,0.0,5300,,841788,708760,305548,403212,147456
9.8404255,0.0,5300,,842464,708084,307532,400552,147456
8.488064,0.265252,5300,,842884,707664,307236,400552,147456
10.027101,0.0,5300,,842224,708324,307780,400544,147456
15.968586,0.0,5300,,842688,707860,307304,400556,147456
13.881748,0.5141388,5300,,842516,708032,307400,400632,147456
12.405064,0.0,5300,,842868,707680,306904,400776,147456
10.0,0.0,5300,,836320,714228,325916,388312,147456
19.086021,0.0,5300,,837696,712852,322828,390024,147456
25.46917,0.0,5300,,842680,707868,317712,390156,147456
21.13402,0.0,5300,,834096,716452,301488,414964,147456
23.958334,0.0,5300,,835564,714984,324268,390716,147456
2.887139,0.2624672,5300,,829960,720588,329852,390736,147456
18.97019,0.0,5300,,827312,723236,333264,389972,147456
14.130435,0.0,5300,,827600,722948,332780,390168,147456
6.878307,0.0,5300,,827844,722704,332532,390172,147456
26.430517,0.27247956,5300,,832080,718468,322416,396052,147456
52.27882,0.0,5300,,832476,718072,320548,397728,147456
41.39785,0.0,5300,,830916,719632,320444,399188,147456
41.00529,0.0,5300,,830124,720424,322532,397892,147456
39.68254,0.0,5300,,828500,722048,324028,398020,147456
25.136612,0.0,5300,,825316,725232,327976,396956,147456
33.78016,0.2680965,5300,,853912,696636,295844,400792,147456
61.60221,0.0,5300,,863764,686784,297888,389020,147456
76.17801,0.5235602,5300,,883008,667540,315812,351728,147456
36.51226,0.0,5300,,884152,666396,311604,354792,147456
17.520216,0.26954177,5300,,811920,738628,401756,336872,147456
34.920635,0.0,5300,,814208,736340,386220,350120,147456
16.137566,0.0,5300,,813684,736864,385944,350920,147456
19.30295,0.2680965,5300,,752344,798204,447576,350628,147456
3.9267015,0.0,5300,,751716,798832,448188,350644,147456
17.708334,0.0,5300,,750768,799780,446464,353316,147456
4.37018,0.0,5300,,750932,799616,446312,353304,147456
32.545933,0.2624672,5300,,763084,787464,406828,380636,147456
17.44186,0.0,5300,,763144,787404,406908,380496,147456
44.28044,0.0,5300,,763520,787028,408000,379028,147456
53.535355,0.0,5300,,763424,787124,408000,379124,147456
68.33977,0.38610038,5300,,771600,778948,398280,380792,147456
38.96104,0.0,5300,,773064,777484,394124,383360,147456
28.055555,0.0,5300,,774600,775948,392040,383908,147456
23.29843,0.2617801,5300,,774436,776112,392048,384064,147456
36.9146,2.479339,5300,,790108,760440,353364,407076,147456
21.750664,2.65252,5300,,774660,775888,389872,386016,147456
12.568306,3.5519125,5300,,772664,777884,388716,389168,147456
10.58201,0.0,5300,,772936,777612,388420,389192,147456
12.3359585,0.2624672,5300,,773168,777380,387888,389492,147456
27.03412,0.0,5300,,774820,775728,368528,407200,147456
19.607843,0.0,5300,,778928,771620,361156,410464,147456
26.829268,0.0,5300,,781436,769112,356300,412812,147456
18.941504,0.0,5300,,780892,769656,359172,410484,147456
18.487394,0.0,5300,,780716,769832,359488,410344,147456
20.218578,0.27322406,5300,,779616,770932,360588,410344,147456
21.857924,0.0,5300,,780136,770412,359376,411036,147456
19.889503,0.0,5300,,780112,770436,359220,411216,147456
19.607843,0.84033614,5300,,780548,770000,358808,411192,147456
20.435966,0.0,5300,,780584,769964,358732,411232,147456
15.186247,0.0,5300,,780232,770316,359080,411236,147456
21.680218,0.0,5300,,781268,769280,356936,412344,147456
20.111732,0.0,5300,,782532,768016,355668,412348,147456
21.35135,0.0,5300,,781392,769156,356812,412344,147456
17.927172,0.0,5300,,781492,769056,356712,412344,147456
16.619719,0.0,5300,,781616,768932,356588,412344,147456
20.604395,0.0,5300,,782956,767592,354872,412720,147456
18.232044,0.0,5300,,783256,767292,354480,412812,147456
24.054054,0.5405405,5300,,784020,766528,353736,412792,147456
22.54642,0.0,5300,,784456,766092,353364,412852,147456
18.882978,0.0,5300,,784616,765932,353116,412816,147456
16.480448,0.0,5300,,784864,765684,352868,412816,147456
19.075144,0.0,5300,,784568,765980,353172,412808,147456
19.662922,0.0,5300,,784616,765932,353116,412816,147456
20.0,0.0,5300,,784564,765984,353216,412768,147456
21.428572,0.0,5300,,784764,765784,353092,412816,147456
20.110193,0.0,5300,,784912,765636,352744,412892,147456
17.977528,0.0,5300,,784912,765636,352744,412892,147456
20.891365,0.27855152,5300,,785540,765008,352124,412884,147456
22.437674,0.0,5300,,789820,760728,346384,414344,147456
18.233618,0.0,5300,,789736,760812,346480,414332,147456
22.826086,0.0,5300,,790716,759832,345048,414708,147456
19.887955,0.0,5300,,791136,759412,344504,414908,147456
16.285715,0.0,5300,,791208,759340,344428,414912,147456
20.05571,0.27855152,5300,,791208,759340,344428,414912,147456
17.847025,0.0,5300,,790712,759836,344924,414912,147456
15.743441,0.0,5300,,790208,760340,345428,414912,147456
18.820225,0.0,5300,,790328,760220,345304,414916,147456
16.426514,0.0,5300,,789880,760668,345544,415124,147456
19.197708,0.0,5300,,789972,760576,345420,415156,147456
18.207283,0.0,5300,,790120,760428,345272,415156,147456
23.705723,0.27247956,5300,,791356,759192,343824,415368,147456
18.644068,0.0,5300,,791852,758696,343328,415368,147456
16.991644,0.0,5300,,792100,758448,343080,415368,147456
17.039106,0.0,5300,,792340,758208,342840,415368,147456
19.382023,0.56179774,5300,,792588,757960,342592,415368,147456
21.84874,0.0,5300,,795084,755464,339740,415848,147456
