AnotherMonitor Record,Starting date and time:,2019-07-21-15-10-35,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),AnotherMonitor (Pid 6912) CPU usage (%),AnotherMonitor Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
10.354223,1.907357,5004,,765636,784912,318688,466224,147456
12.295082,3.8251367,5004,,766268,784280,317820,466460,147456
9.668509,1.3812155,5004,,777016,773532,272176,501356,147456
5.8355436,1.32626,5004,,777032,773516,272284,501356,147456
1.8918918,1.3513514,5004,,777276,773272,271920,501352,147456
1.32626,1.32626,5004,,777272,773276,271920,501356,147456
2.1390374,1.6042781,5004,,777248,773300,271944,501356,147456
2.1276596,1.5957447,5004,,777272,773276,271928,501348,147456
4.935065,1.2987013,5004,,777488,773060,271704,501356,147456
1.3368984,1.3368984,5004,,777488,773060,271704,501356,147456
7.967033,5.769231,5004,,777488,773060,271704,501356,147456
7.082153,7.082153,5004,,777488,773060,271704,501356,147456
1.6129032,1.6129032,5004,,777736,772812,271456,501356,147456
12.222222,0.8333333,5004,,777564,772984,271696,501288,147456
2.144772,0.2680965,5004,,777812,772736,271372,501364,147456
1.8518518,0.26455027,5004,,777348,773200,270116,503084,147456
2.617801,0.0,5004,,777972,772576,269496,503080,147456
43.351063,0.5319149,5004,,784460,766088,271924,494164,147456
65.24064,0.26737967,5004,,747688,802860,305096,497764,147456
13.709678,0.26881722,5004,,747184,803364,300932,502432,147456
10.638298,0.0,5004,,747520,803028,299024,504004,147456
2.4590163,0.0,5004,,747644,802904,298900,504004,147456
12.078651,0.0,5004,,747968,802580,298576,504004,147456
2.162162,0.27027026,5004,,747292,803256,299252,504004,147456
8.426967,0.0,5004,,746836,803712,299716,503996,147456
13.370474,0.55710304,5004,,747628,802920,297888,505032,147456
36.11111,0.0,5004,,773216,777332,257292,520040,147456
36.99422,0.0,5004,,775580,774968,252408,522560,147456
11.956522,0.27173913,5004,,779172,771376,237240,534136,147456
4.657534,0.0,5004,,778216,772332,254380,517952,147456
4.8913045,0.0,5004,,778352,772196,254180,518016,147456
3.794038,0.0,5004,,777428,773120,254956,518164,147456
5.1771116,0.27247956,5004,,777052,773496,255360,518136,147456
2.7472527,0.0,5004,,777220,773328,255180,518148,147456
4.0650406,0.0,5004,,776712,773836,255688,518148,147456
6.216216,0.0,5004,,776704,773844,255696,518148,147456
4.8,0.26666668,5004,,776900,773648,255576,518072,147456
5.540897,0.0,5004,,776764,773784,255520,518264,147456
