SeraphimDroid Record,Starting date and time:,2019-07-06-19-03-13,Read interval (ms):,1000,MemTotal (kB),1550548
Total CPU usage (%),SeraphimDroid (Pid 11879) CPU usage (%),SeraphimDroid Memory (kB),,Memory used (kB),Memory available (MemFree+Cached) (kB),MemFree (kB),Cached (kB),Threshold (kB)
5.8355436,2.9177718,63256,,896152,654396,321980,332464,147456
5.974026,3.116883,63256,,896476,654072,321120,332952,147456
5.5263157,2.8947368,63256,,896104,654444,321492,332952,147456
4.6703296,3.2967033,63256,,896228,654320,321368,332952,147456
17.366947,3.6414566,63256,,901800,648748,322376,326376,147456
24.681934,2.2900763,63256,,901340,649208,320484,328728,147456
15.2,1.3333334,63256,,901300,649248,321604,327644,147456
39.39394,1.3774104,63256,,900120,650428,331024,319404,147456
24.409449,1.312336,63256,,902128,648420,329636,318784,147456
7.1232877,1.9178082,63256,,902540,648008,330712,317296,147456
31.491713,0.5524862,63256,,906116,644432,330864,313568,147456
18.75,1.6304348,63256,,910100,640448,330976,309472,147456
20.221607,1.3850416,63256,,910480,640068,327124,312944,147456
11.702127,1.5957447,63256,,911032,639516,328664,310852,147456
8.870968,1.6129032,63256,,911328,639220,328368,310852,147456
21.390375,1.6042781,63256,,939000,611548,319616,291820,147456
48.641304,1.3586956,63256,,946424,604124,319884,284276,147456
33.04598,0.57471263,63256,,946936,603612,321224,282388,147456
20.375336,1.072386,63256,,947772,602776,321988,280788,147456
30.494505,1.6483517,63256,,943000,607548,327936,279612,147456
9.695291,1.3850416,63256,,942364,608184,329084,279100,147456
12.332439,1.608579,63256,,941712,608836,329124,279712,147456
45.405407,0.8108108,63256,,956712,593836,311624,282312,147456
37.784092,1.4204545,63256,,957672,592876,334088,258788,147456
4.076087,1.6304348,63256,,954920,595628,336312,259316,147456
6.8119893,2.1798365,63256,,954544,596004,336672,259332,147456
13.066667,2.1333334,63256,,953676,596872,336112,260760,147456
30.578512,0.5509642,63256,,954764,595784,331884,263900,147456
8.938547,1.1173184,63256,,936264,614284,342080,272204,147456
1.3736264,1.3736264,63256,,935896,614652,342168,272484,147456
3.1662269,1.3192612,63256,,936144,614404,341920,272484,147456
3.916449,1.8276763,63256,,934972,615576,342168,273408,147456
1.5748031,1.0498688,63256,,934972,615576,342168,273408,147456
41.309822,8.060453,63256,,935720,614828,336928,277604,147456
56.54596,0.8356546,63256,,946216,604332,319996,284336,147456
10.335196,1.396648,63256,,946288,604260,319912,284348,147456
7.0460706,1.6260163,63256,,946244,604304,319540,284764,147456
35.911602,1.3812155,63256,,952016,598532,319484,279048,147456
10.833333,1.9444444,63256,,951788,598760,320748,278012,147456
18.630136,1.9178082,63256,,952756,597792,321588,276204,147456
4.5454545,1.8716577,63256,,952604,597944,321632,276312,147456
2.7548208,1.9283746,63256,,952628,597920,321608,276312,147456
1.9498607,1.9498607,63256,,951732,598816,322504,276312,147456
4.032258,2.1505377,63256,,951860,598688,322376,276312,147456
1.9337016,1.6574585,63256,,949000,601548,325244,276304,147456
1.6304348,1.9021739,63256,,948812,601736,325424,276312,147456
2.1857924,1.6393442,63256,,948928,601620,325184,276436,147456
22.527473,1.0989012,63256,,943716,606832,328276,278556,147456
1.897019,1.6260163,63256,,943716,606832,328276,278556,147456
1.1049724,1.6574585,63256,,943716,606832,328276,278556,147456
1.3550136,1.6260163,63256,,943840,606708,328152,278556,147456
2.7100272,1.6260163,63256,,943764,606784,328228,278556,147456
4.0540543,1.8918918,63256,,940120,610428,331880,278548,147456
2.1680217,1.6260163,63256,,940228,610320,331764,278556,147456
5.4347825,1.6304348,63256,,946728,603820,323384,280436,147456
2.1978023,1.9230769,63256,,946720,603828,323456,280372,147456
4.1551247,1.6620499,63256,,947172,603376,323596,279780,147456
20.22472,1.4044944,63256,,948800,601748,323556,278192,147456
3.2876713,1.6438357,63256,,943308,607240,328908,278332,147456
2.419355,1.8817204,63256,,943140,607408,329032,278376,147456
1.0526316,1.0526316,63256,,943140,607408,329032,278376,147456
1.8181819,1.038961,63256,,943264,607284,328908,278376,147456
1.8421053,1.5789474,63256,,942396,608152,329776,278376,147456
1.6304348,1.9021739,63256,,942396,608152,329776,278376,147456
2.4590163,1.6393442,63256,,941688,608860,329776,279084,147456
1.3661202,1.9125683,63256,,941500,609048,329792,279256,147456
3.038674,1.3812155,63256,,941872,608676,329420,279256,147456
21.857924,1.3661202,63256,,941936,608612,329356,279256,147456
1.369863,1.6438357,63256,,941908,608640,329348,279292,147456
2.9490616,1.8766756,63256,,941908,608640,329348,279292,147456
1.907357,1.907357,63256,,941884,608664,329372,279292,147456
1.0958904,1.9178082,63256,,941884,608664,329372,279292,147456
4.4973545,1.5873016,63256,,941788,608760,329472,279288,147456
2.7100272,1.6260163,63256,,941760,608788,329496,279292,147456
2.695418,1.8867924,63256,,941640,608908,328844,280064,147456
3.4300792,1.5831134,63256,,941640,608908,328844,280064,147456
6.7934785,1.3586956,63256,,942120,608428,328364,280064,147456
16.531166,1.0840108,63256,,942536,608012,327744,280268,147456
2.173913,1.9021739,63256,,942524,608024,327744,280280,147456
2.7027028,1.6216216,63256,,942524,608024,327744,280280,147456
2.7472527,1.9230769,63256,,942648,607900,327620,280280,147456
1.6438357,1.9178082,63256,,942696,607852,327496,280356,147456
2.1978023,1.9230769,63256,,942828,607720,327496,280348,147456
2.162162,1.6216216,63256,,942812,607736,327380,280356,147456
1.6129032,1.6129032,63256,,942736,607812,327456,280356,147456
3.2432432,1.8918918,63256,,942804,607744,327388,280356,147456
6.424581,1.396648,63256,,943548,607000,326644,280356,147456
19.414894,1.3297873,63256,,944776,605772,325264,280508,147456
1.6393442,1.6393442,63256,,944900,605648,325140,280508,147456
40.651802,8.576329,63256,,945176,605372,320776,284596,147456
14.441417,0.0,63256,,945208,605340,321888,283452,147456
3.2520325,0.0,63256,,941972,608576,325124,283452,147456
3.504043,0.0,63256,,941824,608724,325272,283452,147456
3.2786884,7.923497,63256,,940700,609848,326396,283452,147456
3.4852548,0.0,63256,,940852,609696,326372,283448,147456
1.9125683,0.0,63256,,940600,609948,326496,283452,147456
21.22905,0.0,63256,,942404,608144,324512,283632,147456
2.1798365,0.0,63256,,942404,608144,324512,283632,147456
1.0989012,5.4945054,63256,,942404,608144,324512,283632,147456
1.9125683,0.0,63256,,942404,608144,324512,283632,147456
2.1563342,0.0,63256,,942404,608144,324512,283632,147456
1.907357,3.814714,63256,,939676,610872,327240,283632,147456
1.0958904,0.0,63256,,939676,610872,327240,283632,147456
1.0840108,2.7100272,63256,,939676,610872,327240,283632,147456
1.9125683,0.0,63256,,939428,611120,327488,283632,147456
2.4324324,2.7027028,63256,,939676,610872,327240,283632,147456
21.270718,0.0,63256,,939924,610624,326992,283632,147456
2.419355,1.6129032,63256,,939924,610624,326992,283632,147456
1.9125683,1.6393442,63256,,940048,610500,326868,283632,147456
2.144772,0.8042895,63256,,940048,610500,326868,283632,147456
3.7634408,1.8817204,63256,,938400,612148,324120,288028,147456
1.6172507,1.0781671,63256,,938520,612028,324008,288020,147456
1.8817204,1.6129032,63256,,938636,611912,323884,288028,147456
4.5945945,1.3513514,63256,,939148,611400,321032,290368,147456
4.2780747,1.3368984,63256,,938952,611596,321032,290568,147456
4.619565,1.3586956,63256,,939360,611188,320536,290776,147456
16.201117,1.1173184,63256,,941292,609256,320164,289140,147456
2.7548208,1.9283746,63256,,941260,609288,320156,289132,147456
2.162162,1.6216216,63256,,941500,609048,319908,289140,147456
1.5584415,0.77922076,63256,,941500,609048,319908,289140,147456
3.916449,1.8276763,63256,,941440,609108,319908,289200,147456
1.6483517,1.3736264,63256,,940572,609976,320776,289200,147456
1.0989012,1.3736264,63256,,940572,609976,320776,289200,147456
1.3586956,1.6304348,63256,,940572,609976,320776,289200,147456
2.1798365,1.907357,63256,,940564,609984,320784,289200,147456
5.7377048,1.3661202,63256,,939988,610560,320768,289792,147456
15.686275,1.4005603,63256,,940832,609716,319852,289864,147456
3.2085562,1.6042781,63256,,940800,609748,319884,289864,147456
2.695418,1.6172507,63256,,940800,609748,319884,289864,147456
2.4390244,1.897019,63256,,940756,609792,319768,290024,147456
1.0928962,1.6393442,63256,,940580,609968,319944,290024,147456
